Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MLT-9032,1,Buzzer,
"C1, C102, C103, C104, C105, C106, C107, C16, C17, C18, C2, C21, C22, C23, C24, C25, C29, C30, C31, C35, C37, C40, C41, C42, C43, C45, C47, C49, C50, C51, C52, C54, C55, C58, C59, C62, C67, C70, C71, C72, C74, C76, C77, C78, C79, C81, C83, C87, C88, C91, C92, C94, C95, C97, C99",0603,55,100n,
"C10, C5, C53, C57, C6, C7, C8, C9",1206,8,10u,
"C100, C101, C14, C15, C19, C20, C32, C33, C36, C39, C44, C56, C63, C64, C66, C68, C69, C75, C80, C82, C84, C85, C86, C89, C90, C93, C96, C98",0603,28,10u,
C12,CP_Radial_D6.3mm_P2.50mm,1,680u,
"C13, C28, C48, C65, C73",CP_EIA-3216-18_Kemet-A,5,47u,
C26,CP_Radial_D6.3mm_P2.50mm,1,220u,
"C3, C4",0603,2,100p,
"C34, C46",0603,2,10n,
C38,0603,1,20p,
"C60, C61",CP_Radial_D6.3mm_P2.50mm,2,47u,
"D1, D10, D11, D18, D2, D21, D8, D9",D_SMF,8,K34,
"D12, D13, D14, D15, D17, D23, D25, D27, D4, D5, D6",0603,11,LED,
"D16, D19, D20, D22",D_SMF,4,SMF10A,
D3,D_SMF,1,SMCJ28A,
D7,D_SMF,1,SMF5V0A,
F1,1210,1,Polyfuse,
F2,1206,1,Polyfuse,
"J1, J10, J12, J2, J4, J6",conn_2x02_2.54,6,Conn_02x02_Odd_Even,
"J11, J8",JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,2,Conn_UART,
J13,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,Conn_CAN,
J3,conn_2x03_2.54,1,Conn_02x03_Odd_Even,
J5,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,Conn_OLED,
J9,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,Conn_SWD,
"L1, L2",L_Bourns-SRN4018,2,6R8,
"L3, L4, L5",0603,3,L_Ferrite,
Q1,SOT-23,1,AO3400A,
"R1, R23, R7, R8",0603,4,100k 25ppm,
"R10, R11, R16",0603,3,200r,
R12,0603,1,118k,
"R13, R15, R28, R29, R3, R35, R4, R41, R42, R51, R58",0603,11,10k,
R14,0603,1,53.6k,
"R17, R19, R34, R36, R37, R46, R47",0603,7,120r,
"R18, R2",0603,2,10k 25ppm,
"R20, R25, R32, R33, R44, R45, R5, R57, R6, R64, R65",0603,11,33r,
"R21, R22, R53, R63",1206,4,3.3r,
"R24, R30, R31, R39, R43, R50, R52, R55, R61, R62",0603,10,1k,
R26,0603,1,100k,
R27,0603,1,51k,
"R38, R40",0603,2,2.2k,
"R48, R49",1206,2,68r,
"R54, R56, R59, R60, R66, R67",0603,6,100r 25ppm,
R9,0603,1,5k,
U1,SOT-23,1,REF3033,
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1042T-3,
"U12, U13",SOT-23-5,2,RS3236,
"U14, U15",BxxxxS-1W,2,ISO_DC,
"U16, U17",SOIC-8_3.9x4.9mm_P1.27mm,2,UCC27211D,
"U19, U7, U8",SOT-363_SC-70-6,3,INA186,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F334R8Tx,
"U3, U4",SOT-23-6,2,RY8411,
"U5, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,GS8332-SR,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8MHz,
